iter	Passed	Remaining
437	2158	305
438	2163	300
439	2167	295
440	2172	290
441	2176	285
442	2181	280
443	2185	275
444	2190	270
445	2194	265
446	2199	260
447	2203	255
448	2208	250
449	2212	245
450	2217	240
451	2221	235
452	2226	230
453	2231	226
454	2235	221
455	2240	216
456	2245	211
457	2249	206
458	2254	201
459	2259	196
460	2263	191
461	2267	186
462	2272	181
463	2277	176
464	2281	171
465	2286	166
466	2290	161
467	2294	156
468	2299	151
469	2304	147
470	2308	142
471	2312	137
472	2317	132
473	2322	127
474	2326	122
475	2331	117
476	2335	112
477	2339	107
478	2344	102
479	2348	97
480	2352	92
481	2357	88
482	2361	83
483	2366	78
484	2371	73
485	2375	68
486	2380	63
487	2384	58
488	2389	53
489	2394	48
490	2398	43
491	2402	39
492	2407	34
493	2412	29
494	2417	24
495	2422	19
496	2427	14
497	2431	9
498	2436	4
499	2441	0
