iter	RMSE
354	294.976178
355	294.9514738
356	294.9271123
357	294.8966539
358	294.8813517
359	294.8560447
360	294.8126437
361	294.7873066
362	294.7655667
363	294.7393967
364	294.7175465
365	294.693636
366	294.6451132
367	294.6061264
368	294.5852178
369	294.5437208
370	294.5191086
371	294.4765824
372	294.4466691
373	294.4188235
374	294.402392
375	294.3813997
376	294.3557078
377	294.3295855
378	294.3021392
379	294.277746
380	294.2556872
381	294.2248185
382	294.2007734
383	294.173642
384	294.1410188
385	294.1217164
386	294.0967104
387	294.0791013
388	294.0434229
389	294.0251668
390	293.9911182
391	293.9709438
392	293.9434462
393	293.9163954
394	293.8903135
395	293.8577956
396	293.8394081
397	293.8064168
398	293.7769755
399	293.7541027
400	293.726995
401	293.6988033
402	293.6733204
403	293.6500765
404	293.6281624
405	293.5957001
406	293.5741889
407	293.5449773
408	293.5148963
409	293.4908467
410	293.4623243
411	293.4334121
412	293.3969881
413	293.3784659
414	293.3441071
415	293.326509
416	293.3035993
417	293.2784167
418	293.2586649
419	293.2311775
420	293.2037855
421	293.1681332
422	293.1452458
423	293.1076906
424	293.0792004
425	293.0550232
426	293.02842
427	293.0054797
428	292.9841197
429	292.9555517
430	292.9305516
431	292.9066884
432	292.8809103
433	292.8478838
434	292.8247182
435	292.8008927
436	292.7677717
437	292.7393684
438	292.720041
439	292.6958084
440	292.6728592
441	292.6465911
442	292.6059008
443	292.5869188
444	292.5654934
445	292.5461686
446	292.5218596
447	292.4923603
448	292.4758149
449	292.4395516
450	292.3968818
451	292.3712281
452	292.3458677
453	292.3282613
454	292.306384
455	292.2784991
456	292.2418088
457	292.2169412
458	292.1954419
459	292.1781761
460	292.150711
461	292.1274978
462	292.0980656
463	292.0718221
464	292.0538239
465	292.0244265
466	291.9993457
467	291.9781815
468	291.955959
469	291.9347091
470	291.9024488
471	291.8735807
472	291.8518222
473	291.8294011
474	291.8028518
475	291.7767855
476	291.7524145
477	291.7278396
478	291.6943486
479	291.67311
480	291.653948
481	291.6359625
482	291.6171463
483	291.5884477
484	291.5702869
485	291.5385664
486	291.5087966
487	291.4804727
488	291.4497059
489	291.4282977
490	291.4040164
491	291.3713648
492	291.3367811
493	291.3142148
494	291.284927
495	291.2624691
496	291.2379497
497	291.211702
498	291.1739933
499	291.145493
